room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15038051,35316054,Entire home/apt,,24,0,,2,1.0,91.0,3.0,56.141993,10.193599,2016-10-29 01:26:03.128918
15294369,32903723,Entire home/apt,,4,0,,4,1.0,68.0,1.0,56.184335,10.197531,2016-10-29 01:25:55.381360
3028890,14751436,Entire home/apt,,24,1,,3,1.0,82.0,1.0,56.170898,10.216595,2016-10-29 01:25:33.717827
9214500,47918743,Entire home/apt,,24,13,5.0,2,0.0,72.0,2.0,56.159718,10.201813,2016-10-29 01:25:18.555461
11786799,62766571,Entire home/apt,,24,4,5.0,3,1.0,53.0,1.0,56.153517,10.194221,2016-10-29 01:25:03.976931
6924209,33843943,Entire home/apt,,5,1,,7,5.0,423.0,2.0,56.195321,10.242703,2016-10-29 01:24:49.243165
13187414,73786722,Entire home/apt,,1,1,,8,5.0,166.0,4.0,56.119406,10.198349,2016-10-29 01:24:14.440551
11411191,23286528,Entire home/apt,,4,6,5.0,6,3.0,136.0,5.0,56.174657,10.214894,2016-10-29 01:24:08.204304
9062761,47273313,Private room,,24,0,,2,1.0,61.0,1.0,56.162366,10.20862,2016-10-29 01:24:04.497058
9344891,13866980,Private room,,24,0,,2,1.0,42.0,1.0,56.160912,10.209894,2016-10-29 01:23:59.268271
13287523,44358607,Entire home/apt,,24,0,,4,2.0,75.0,1.0,56.145861,10.194003,2016-10-29 01:23:54.962179
13856795,32449276,Entire home/apt,,24,0,,4,2.0,46.0,1.0,56.144763,10.191927,2016-10-29 01:23:43.891339
7189508,37656419,Entire home/apt,,4,0,,4,2.0,43.0,1.0,56.187922,10.18327,2016-10-29 01:23:40.713171
13696184,79850098,Entire home/apt,,2,1,,8,4.0,151.0,3.0,56.122443,10.186501,2016-10-29 01:23:08.138081
6815545,35686049,Entire home/apt,,1,0,,9,5.0,227.0,1.0,56.110363,10.221411,2016-10-29 01:23:00.505712
1418172,7639556,Private room,,3,8,5.0,2,1.0,35.0,1.0,56.162507,10.170626,2016-10-29 01:22:55.620892
7647660,962573,Entire home/apt,,3,3,5.0,5,2.0,76.0,,56.170282,10.168554,2016-10-29 01:22:37.560136
13934918,82834618,Private room,,4,1,,2,1.0,45.0,1.0,56.190775,10.184164,2016-10-29 01:22:00.308660
1918678,9924828,Entire home/apt,,5,0,,10,3.0,13.0,3.0,56.185071,10.229078,2016-10-29 01:21:49.647751
14591907,16680277,Private room,,24,1,,2,1.0,68.0,4.0,56.156368,10.198103,2016-10-29 01:21:42.927307
1213155,6621004,Entire home/apt,,5,2,,6,3.0,147.0,7.0,56.200659,10.248208,2016-10-29 01:21:15.471689
6774641,35467066,Entire home/apt,,24,3,5.0,4,1.0,94.0,1.0,56.145714,10.190803,2016-10-29 01:21:08.384029
10735738,3270494,Entire home/apt,,24,0,,2,1.0,48.0,10.0,56.155451,10.194987,2016-10-29 01:20:58.961680
9325060,48398752,Entire home/apt,,24,5,4.5,5,3.0,91.0,,56.171249,10.219413,2016-10-29 01:20:56.182050
14466808,89151312,Entire home/apt,,24,1,,2,1.0,73.0,2.0,56.155985,10.190359,2016-10-29 01:20:05.667679
11613366,49180406,Entire home/apt,,24,1,,4,1.0,58.0,1.0,56.155691,10.209293,2016-10-29 01:19:46.176610
13636443,10437647,Entire home/apt,,24,1,,1,1.0,20.0,,56.157794,10.199761,2016-10-29 01:19:06.603247
3211529,16270598,Entire home/apt,,24,1,,8,3.0,302.0,1.0,56.15773,10.205971,2016-10-29 01:18:59.128662
3750969,19192709,Entire home/apt,,24,6,5.0,4,1.0,166.0,2.0,56.155442,10.198345,2016-10-29 01:18:55.273579
4986910,22443973,Private room,,24,4,4.5,4,1.0,53.0,1.0,56.1586,10.20795,2016-10-29 01:18:47.999769
13148869,35845022,Private room,,24,0,,2,1.0,26.0,4.0,56.166381,10.226962,2016-10-29 01:18:43.815868
14531804,40174653,Entire home/apt,,4,1,,2,1.0,50.0,1.0,56.169869,10.191222,2016-10-29 01:18:39.929834
11584810,36401174,Entire home/apt,,24,7,4.5,2,1.0,38.0,2.0,56.147321,10.197677,2016-10-29 01:18:37.832190
13267241,74732969,Entire home/apt,,24,1,,2,1.0,112.0,2.0,56.154902,10.195699,2016-10-29 01:18:18.920222
15176122,11031662,Private room,,4,2,,3,1.0,36.0,2.0,56.173278,10.198927,2016-10-29 01:18:07.973114
8838282,46287080,Entire home/apt,,24,0,,2,1.0,75.0,3.0,56.156522,10.20698,2016-10-29 01:18:04.085536
13421014,76497122,Entire home/apt,,24,0,,2,1.0,57.0,1.0,56.157648,10.196139,2016-10-29 01:17:56.734966
15128450,94636596,Entire home/apt,,24,2,,2,1.0,75.0,1.0,56.158755,10.210709,2016-10-29 01:17:49.162443
6250469,32463304,Private room,,24,6,4.5,1,1.0,45.0,3.0,56.169427,10.214348,2016-10-29 01:17:22.504035
15303900,97462462,Private room,,24,0,,1,1.0,23.0,1.0,56.147798,10.191717,2016-10-29 01:17:01.197979
7295516,38212165,Entire home/apt,,3,1,,6,2.0,113.0,1.0,56.176705,10.17217,2016-10-29 01:16:52.742232
14001732,29993557,Entire home/apt,,24,1,,2,1.0,58.0,1.0,56.155396,10.190022,2016-10-29 01:16:20.574205
11643245,61738890,Entire home/apt,,24,9,5.0,2,1.0,68.0,2.0,56.157808,10.184269,2016-10-29 01:16:10.504764
7763770,39904689,Private room,,11,2,,1,1.0,34.0,2.0,56.174519,10.124791,2016-10-29 01:15:53.458878
8898817,46551020,Entire home/apt,,24,1,,2,1.0,30.0,7.0,56.153944,10.196928,2016-10-29 01:15:51.188869
1208861,6519122,Entire home/apt,,3,47,5.0,3,1.0,61.0,1.0,56.162122,10.160273,2016-10-29 01:15:46.949585
5625141,9925324,Entire home/apt,,24,3,5.0,2,1.0,50.0,1.0,56.1637,10.200423,2016-10-29 01:15:30.872628
5094134,26320808,Private room,,24,8,4.0,2,1.0,60.0,1.0,56.160693,10.206932,2016-10-29 01:15:27.809449
6996514,36684649,Entire home/apt,,24,3,4.5,2,1.0,49.0,3.0,56.16047,10.20958,2016-10-29 01:15:22.143612
7479287,28762268,Entire home/apt,,1,7,4.5,6,3.0,155.0,5.0,56.120019,10.20599,2016-10-29 01:15:19.727643
6158882,26694939,Entire home/apt,,4,0,,4,2.0,45.0,1.0,56.197596,10.188756,2016-10-29 01:15:16.109508
3306257,16697268,Entire home/apt,,24,0,,2,1.0,60.0,1.0,56.156968,10.185309,2016-10-29 01:15:09.811600
10623964,54833500,Entire home/apt,,24,5,5.0,2,1.0,60.0,1.0,56.163625,10.214,2016-10-29 01:14:35.247984
13054916,71136882,Entire home/apt,,24,12,4.5,2,0.0,45.0,1.0,56.154332,10.209917,2016-10-29 01:14:32.221193
9489003,32121986,Entire home/apt,,24,7,4.5,3,1.0,56.0,3.0,56.163449,10.204643,2016-10-29 01:14:28.123401
8991219,42547213,Private room,,24,0,,2,1.0,32.0,2.0,56.161393,10.207952,2016-10-29 01:14:25.178041
12992899,15604792,Entire home/apt,,24,7,4.5,2,1.0,113.0,2.0,56.158633,10.207242,2016-10-29 01:14:21.563606
6970488,10044927,Entire home/apt,,24,10,4.5,2,1.0,61.0,1.0,56.144726,10.193678,2016-10-29 01:14:14.934570
13186630,73777021,Entire home/apt,,2,5,4.5,3,1.0,57.0,2.0,56.14515,10.186827,2016-10-29 01:14:10.971129
6563896,34336015,Entire home/apt,,24,7,4.5,6,2.0,119.0,1.0,56.164153,10.202782,2016-10-29 01:14:04.420237
8820006,46202608,Entire home/apt,,24,0,,3,2.0,44.0,3.0,56.146467,10.208401,2016-10-29 01:14:00.641331
2953529,15076448,Entire home/apt,,4,9,4.5,3,1.0,45.0,2.0,56.175434,10.198355,2016-10-29 01:13:43.197159
12974477,71411061,Private room,,24,1,,2,1.0,61.0,1.0,56.153873,10.188794,2016-10-29 01:13:31.770858
6014842,31221706,Entire home/apt,,24,0,,6,2.0,109.0,3.0,56.171708,10.21523,2016-10-29 01:13:28.917856
13468475,41287148,Entire home/apt,,24,4,4.0,2,1.0,34.0,4.0,56.156144,10.184328,2016-10-29 01:13:23.762898
7897716,41640640,Entire home/apt,,1,0,,4,2.0,113.0,1.0,56.112427,10.202114,2016-10-29 01:13:19.942150
11566813,61103867,Private room,,24,0,,2,1.0,75.0,1.0,56.156835,10.183397,2016-10-29 01:12:55.300026
14163354,16180970,Entire home/apt,,24,2,,4,1.0,55.0,7.0,56.171553,10.215009,2016-10-29 01:12:49.307360
5327136,25311282,Entire home/apt,,24,2,,2,1.0,76.0,1.0,56.145047,10.191798,2016-10-29 01:12:40.976281
6394479,6144252,Entire home/apt,,24,2,,3,0.0,61.0,2.0,56.170305,10.219958,2016-10-29 01:12:18.194176
